trade_date,industry_code,factor,total,non_missing,coverage
2022-08-11,HEALTH,roe,10,10,1.0
2022-08-11,INDUSTRIAL,roe,10,10,1.0
2022-08-11,TECH,roe,10,10,1.0
2022-08-12,BANK,roe,10,10,1.0
2022-08-12,CONSUMER,roe,10,10,1.0
2022-08-12,ENERGY,roe,10,10,1.0
2022-08-12,HEALTH,roe,10,10,1.0
2022-08-12,INDUSTRIAL,roe,10,10,1.0
2022-08-12,TECH,roe,10,10,1.0
2022-08-15,BANK,roe,10,10,1.0
2022-08-15,CONSUMER,roe,10,10,1.0
2022-08-15,ENERGY,roe,10,10,1.0
2022-08-15,HEALTH,roe,10,10,1.0
2022-08-15,INDUSTRIAL,roe,10,10,1.0
2022-08-15,TECH,roe,10,10,1.0
2022-08-16,BANK,roe,10,10,1.0
2022-08-16,CONSUMER,roe,10,10,1.0
2022-08-16,ENERGY,roe,10,10,1.0
2022-08-16,HEALTH,roe,10,10,1.0
2022-08-16,INDUSTRIAL,roe,10,10,1.0
2022-08-16,TECH,roe,10,10,1.0
2022-08-17,BANK,roe,10,10,1.0
2022-08-17,CONSUMER,roe,10,10,1.0
2022-08-17,ENERGY,roe,10,10,1.0
2022-08-17,HEALTH,roe,10,10,1.0
2022-08-17,INDUSTRIAL,roe,10,10,1.0
2022-08-17,TECH,roe,10,10,1.0
2022-08-18,BANK,roe,10,10,1.0
2022-08-18,CONSUMER,roe,10,10,1.0
2022-08-18,ENERGY,roe,10,10,1.0
2022-08-18,HEALTH,roe,10,10,1.0
2022-08-18,INDUSTRIAL,roe,10,10,1.0
2022-08-18,TECH,roe,10,10,1.0
2022-08-19,BANK,roe,10,10,1.0
2022-08-19,CONSUMER,roe,10,10,1.0
2022-08-19,ENERGY,roe,10,10,1.0
2022-08-19,HEALTH,roe,10,10,1.0
2022-08-19,INDUSTRIAL,roe,10,10,1.0
2022-08-19,TECH,roe,10,10,1.0
2022-08-22,BANK,roe,10,10,1.0
2022-08-22,CONSUMER,roe,10,10,1.0
2022-08-22,ENERGY,roe,10,10,1.0
2022-08-22,HEALTH,roe,10,10,1.0
2022-08-22,INDUSTRIAL,roe,10,10,1.0
2022-08-22,TECH,roe,10,10,1.0
2022-08-23,BANK,roe,10,10,1.0
2022-08-23,CONSUMER,roe,10,10,1.0
2022-08-23,ENERGY,roe,10,10,1.0
2022-08-23,HEALTH,roe,10,10,1.0
2022-08-23,INDUSTRIAL,roe,10,10,1.0
2022-08-23,TECH,roe,10,10,1.0
2022-08-24,BANK,roe,10,10,1.0
2022-08-24,CONSUMER,roe,10,10,1.0
2022-08-24,ENERGY,roe,10,10,1.0
2022-08-24,HEALTH,roe,10,10,1.0
2022-08-24,INDUSTRIAL,roe,10,10,1.0
2022-08-24,TECH,roe,10,10,1.0
2022-08-25,BANK,roe,10,10,1.0
2022-08-25,CONSUMER,roe,10,10,1.0
2022-08-25,ENERGY,roe,10,10,1.0
2022-08-25,HEALTH,roe,10,10,1.0
2022-08-25,INDUSTRIAL,roe,10,10,1.0
2022-08-25,TECH,roe,10,10,1.0
2022-08-26,BANK,roe,10,10,1.0
2022-08-26,CONSUMER,roe,10,10,1.0
2022-08-26,ENERGY,roe,10,10,1.0
2022-08-26,HEALTH,roe,10,10,1.0
2022-08-26,INDUSTRIAL,roe,10,10,1.0
2022-08-26,TECH,roe,10,10,1.0
2022-08-29,BANK,roe,10,10,1.0
2022-08-29,CONSUMER,roe,10,10,1.0
2022-08-29,ENERGY,roe,10,10,1.0
2022-08-29,HEALTH,roe,10,10,1.0
2022-08-29,INDUSTRIAL,roe,10,10,1.0
2022-08-29,TECH,roe,10,10,1.0
2022-08-30,BANK,roe,10,10,1.0
2022-08-30,CONSUMER,roe,10,10,1.0
2022-08-30,ENERGY,roe,10,10,1.0
2022-08-30,HEALTH,roe,10,10,1.0
2022-08-30,INDUSTRIAL,roe,10,10,1.0
2022-08-30,TECH,roe,10,10,1.0
2022-08-31,BANK,roe,10,10,1.0
2022-08-31,CONSUMER,roe,10,10,1.0
2022-08-31,ENERGY,roe,10,10,1.0
2022-08-31,HEALTH,roe,10,10,1.0
2022-08-31,INDUSTRIAL,roe,10,10,1.0
2022-08-31,TECH,roe,10,10,1.0
2022-09-01,BANK,roe,10,10,1.0
2022-09-01,CONSUMER,roe,10,10,1.0
2022-09-01,ENERGY,roe,10,10,1.0
2022-09-01,HEALTH,roe,10,10,1.0
2022-09-01,INDUSTRIAL,roe,10,10,1.0
2022-09-01,TECH,roe,10,10,1.0
2022-09-02,BANK,roe,10,10,1.0
2022-09-02,CONSUMER,roe,10,10,1.0
2022-09-02,ENERGY,roe,10,10,1.0
2022-09-02,HEALTH,roe,10,10,1.0
2022-09-02,INDUSTRIAL,roe,10,10,1.0
2022-09-02,TECH,roe,10,10,1.0
2022-09-05,BANK,roe,10,10,1.0
2022-09-05,CONSUMER,roe,10,10,1.0
2022-09-05,ENERGY,roe,10,10,1.0
2022-09-05,HEALTH,roe,10,10,1.0
2022-09-05,INDUSTRIAL,roe,10,10,1.0
2022-09-05,TECH,roe,10,10,1.0
2022-09-06,BANK,roe,10,10,1.0
2022-09-06,CONSUMER,roe,10,10,1.0
2022-09-06,ENERGY,roe,10,10,1.0
2022-09-06,HEALTH,roe,10,10,1.0
2022-09-06,INDUSTRIAL,roe,10,10,1.0
2022-09-06,TECH,roe,10,10,1.0
2022-09-07,BANK,roe,10,10,1.0
2022-09-07,CONSUMER,roe,10,10,1.0
2022-09-07,ENERGY,roe,10,10,1.0
2022-09-07,HEALTH,roe,10,10,1.0
2022-09-07,INDUSTRIAL,roe,10,10,1.0
2022-09-07,TECH,roe,10,10,1.0
2022-09-08,BANK,roe,10,10,1.0
2022-09-08,CONSUMER,roe,10,10,1.0
2022-09-08,ENERGY,roe,10,10,1.0
2022-09-08,HEALTH,roe,10,10,1.0
2022-09-08,INDUSTRIAL,roe,10,10,1.0
2022-09-08,TECH,roe,10,10,1.0
2022-09-09,BANK,roe,10,10,1.0
2022-09-09,CONSUMER,roe,10,10,1.0
2022-09-09,ENERGY,roe,10,10,1.0
2022-09-09,HEALTH,roe,10,10,1.0
2022-09-09,INDUSTRIAL,roe,10,10,1.0
2022-09-09,TECH,roe,10,10,1.0
2022-06-20,BANK,roa,10,10,1.0
2022-06-20,CONSUMER,roa,10,10,1.0
2022-06-20,ENERGY,roa,10,10,1.0
2022-06-20,HEALTH,roa,10,10,1.0
2022-06-20,INDUSTRIAL,roa,10,10,1.0
2022-06-20,TECH,roa,10,10,1.0
2022-06-21,BANK,roa,10,10,1.0
2022-06-21,CONSUMER,roa,10,10,1.0
2022-06-21,ENERGY,roa,10,10,1.0
2022-06-21,HEALTH,roa,10,10,1.0
2022-06-21,INDUSTRIAL,roa,10,10,1.0
2022-06-21,TECH,roa,10,10,1.0
2022-06-22,BANK,roa,10,10,1.0
2022-06-22,CONSUMER,roa,10,10,1.0
2022-06-22,ENERGY,roa,10,10,1.0
2022-06-22,HEALTH,roa,10,10,1.0
2022-06-22,INDUSTRIAL,roa,10,10,1.0
2022-06-22,TECH,roa,10,10,1.0
2022-06-23,BANK,roa,10,10,1.0
2022-06-23,CONSUMER,roa,10,10,1.0
2022-06-23,ENERGY,roa,10,10,1.0
2022-06-23,HEALTH,roa,10,10,1.0
2022-06-23,INDUSTRIAL,roa,10,10,1.0
2022-06-23,TECH,roa,10,10,1.0
2022-06-24,BANK,roa,10,10,1.0
2022-06-24,CONSUMER,roa,10,10,1.0
2022-06-24,ENERGY,roa,10,10,1.0
2022-06-24,HEALTH,roa,10,10,1.0
2022-06-24,INDUSTRIAL,roa,10,10,1.0
2022-06-24,TECH,roa,10,10,1.0
2022-06-27,BANK,roa,10,10,1.0
2022-06-27,CONSUMER,roa,10,10,1.0
2022-06-27,ENERGY,roa,10,10,1.0
2022-06-27,HEALTH,roa,10,10,1.0
2022-06-27,INDUSTRIAL,roa,10,10,1.0
2022-06-27,TECH,roa,10,10,1.0
2022-06-28,BANK,roa,10,10,1.0
2022-06-28,CONSUMER,roa,10,10,1.0
2022-06-28,ENERGY,roa,10,10,1.0
2022-06-28,HEALTH,roa,10,10,1.0
2022-06-28,INDUSTRIAL,roa,10,10,1.0
2022-06-28,TECH,roa,10,10,1.0
2022-06-29,BANK,roa,10,10,1.0
2022-06-29,CONSUMER,roa,10,10,1.0
2022-06-29,ENERGY,roa,10,10,1.0
2022-06-29,HEALTH,roa,10,10,1.0
2022-06-29,INDUSTRIAL,roa,10,10,1.0
2022-06-29,TECH,roa,10,10,1.0
2022-06-30,BANK,roa,10,10,1.0
2022-06-30,CONSUMER,roa,10,10,1.0
2022-06-30,ENERGY,roa,10,10,1.0
2022-06-30,HEALTH,roa,10,10,1.0
2022-06-30,INDUSTRIAL,roa,10,10,1.0
2022-06-30,TECH,roa,10,10,1.0
2022-07-01,BANK,roa,10,10,1.0
2022-07-01,CONSUMER,roa,10,10,1.0
2022-07-01,ENERGY,roa,10,10,1.0
2022-07-01,HEALTH,roa,10,10,1.0
2022-07-01,INDUSTRIAL,roa,10,10,1.0
2022-07-01,TECH,roa,10,10,1.0
2022-07-04,BANK,roa,10,10,1.0
2022-07-04,CONSUMER,roa,10,10,1.0
2022-07-04,ENERGY,roa,10,10,1.0
2022-07-04,HEALTH,roa,10,10,1.0
2022-07-04,INDUSTRIAL,roa,10,10,1.0
2022-07-04,TECH,roa,10,10,1.0
2022-07-05,BANK,roa,10,10,1.0
2022-07-05,CONSUMER,roa,10,10,1.0
2022-07-05,ENERGY,roa,10,10,1.0
2022-07-05,HEALTH,roa,10,10,1.0
2022-07-05,INDUSTRIAL,roa,10,10,1.0
2022-07-05,TECH,roa,10,10,1.0
2022-07-06,BANK,roa,10,10,1.0
2022-07-06,CONSUMER,roa,10,10,1.0
2022-07-06,ENERGY,roa,10,10,1.0
2022-07-06,HEALTH,roa,10,10,1.0
2022-07-06,INDUSTRIAL,roa,10,10,1.0
2022-07-06,TECH,roa,10,10,1.0
2022-07-07,BANK,roa,10,10,1.0
2022-07-07,CONSUMER,roa,10,10,1.0
2022-07-07,ENERGY,roa,10,10,1.0
2022-07-07,HEALTH,roa,10,10,1.0
2022-07-07,INDUSTRIAL,roa,10,10,1.0
2022-07-07,TECH,roa,10,10,1.0
2022-07-08,BANK,roa,10,10,1.0
2022-07-08,CONSUMER,roa,10,10,1.0
2022-07-08,ENERGY,roa,10,10,1.0
2022-07-08,HEALTH,roa,10,10,1.0
2022-07-08,INDUSTRIAL,roa,10,10,1.0
2022-07-08,TECH,roa,10,10,1.0
2022-07-11,BANK,roa,10,10,1.0
2022-07-11,CONSUMER,roa,10,10,1.0
2022-07-11,ENERGY,roa,10,10,1.0
2022-07-11,HEALTH,roa,10,10,1.0
2022-07-11,INDUSTRIAL,roa,10,10,1.0
2022-07-11,TECH,roa,10,10,1.0
2022-07-12,BANK,roa,10,10,1.0
2022-07-12,CONSUMER,roa,10,10,1.0
2022-07-12,ENERGY,roa,10,10,1.0
2022-07-12,HEALTH,roa,10,10,1.0
2022-07-12,INDUSTRIAL,roa,10,10,1.0
2022-07-12,TECH,roa,10,10,1.0
2022-07-13,BANK,roa,10,10,1.0
2022-07-13,CONSUMER,roa,10,10,1.0
2022-07-13,ENERGY,roa,10,10,1.0
2022-07-13,HEALTH,roa,10,10,1.0
2022-07-13,INDUSTRIAL,roa,10,10,1.0
2022-07-13,TECH,roa,10,10,1.0
2022-07-14,BANK,roa,10,10,1.0
2022-07-14,CONSUMER,roa,10,10,1.0
2022-07-14,ENERGY,roa,10,10,1.0
2022-07-14,HEALTH,roa,10,10,1.0
2022-07-14,INDUSTRIAL,roa,10,10,1.0
2022-07-14,TECH,roa,10,10,1.0
2022-07-15,BANK,roa,10,10,1.0
2022-07-15,CONSUMER,roa,10,10,1.0
2022-07-15,ENERGY,roa,10,10,1.0
2022-07-15,HEALTH,roa,10,10,1.0
2022-07-15,INDUSTRIAL,roa,10,10,1.0
2022-07-15,TECH,roa,10,10,1.0
2022-07-18,BANK,roa,10,10,1.0
2022-07-18,CONSUMER,roa,10,10,1.0
2022-07-18,ENERGY,roa,10,10,1.0
2022-07-18,HEALTH,roa,10,10,1.0
2022-07-18,INDUSTRIAL,roa,10,10,1.0
2022-07-18,TECH,roa,10,10,1.0
2022-07-19,BANK,roa,10,10,1.0
2022-07-19,CONSUMER,roa,10,10,1.0
2022-07-19,ENERGY,roa,10,10,1.0
2022-07-19,HEALTH,roa,10,10,1.0
2022-07-19,INDUSTRIAL,roa,10,10,1.0
2022-07-19,TECH,roa,10,10,1.0
2022-07-20,BANK,roa,10,10,1.0
2022-07-20,CONSUMER,roa,10,10,1.0
2022-07-20,ENERGY,roa,10,10,1.0
2022-07-20,HEALTH,roa,10,10,1.0
2022-07-20,INDUSTRIAL,roa,10,10,1.0
2022-07-20,TECH,roa,10,10,1.0
2022-07-21,BANK,roa,10,10,1.0
2022-07-21,CONSUMER,roa,10,10,1.0
2022-07-21,ENERGY,roa,10,10,1.0
2022-07-21,HEALTH,roa,10,10,1.0
2022-07-21,INDUSTRIAL,roa,10,10,1.0
2022-07-21,TECH,roa,10,10,1.0
2022-07-22,BANK,roa,10,10,1.0
2022-07-22,CONSUMER,roa,10,10,1.0
2022-07-22,ENERGY,roa,10,10,1.0
2022-07-22,HEALTH,roa,10,10,1.0
2022-07-22,INDUSTRIAL,roa,10,10,1.0
2022-07-22,TECH,roa,10,10,1.0
2022-07-25,BANK,roa,10,10,1.0
2022-07-25,CONSUMER,roa,10,10,1.0
2022-07-25,ENERGY,roa,10,10,1.0
2022-07-25,HEALTH,roa,10,10,1.0
2022-07-25,INDUSTRIAL,roa,10,10,1.0
2022-07-25,TECH,roa,10,10,1.0
2022-07-26,BANK,roa,10,10,1.0
2022-07-26,CONSUMER,roa,10,10,1.0
2022-07-26,ENERGY,roa,10,10,1.0
2022-07-26,HEALTH,roa,10,10,1.0
2022-07-26,INDUSTRIAL,roa,10,10,1.0
2022-07-26,TECH,roa,10,10,1.0
2022-07-27,BANK,roa,10,10,1.0
2022-07-27,CONSUMER,roa,10,10,1.0
2022-07-27,ENERGY,roa,10,10,1.0
2022-07-27,HEALTH,roa,10,10,1.0
2022-07-27,INDUSTRIAL,roa,10,10,1.0
2022-07-27,TECH,roa,10,10,1.0
2022-07-28,BANK,roa,10,10,1.0
2022-07-28,CONSUMER,roa,10,10,1.0
2022-07-28,ENERGY,roa,10,10,1.0
2022-07-28,HEALTH,roa,10,10,1.0
2022-07-28,INDUSTRIAL,roa,10,10,1.0
2022-07-28,TECH,roa,10,10,1.0
2022-07-29,BANK,roa,10,10,1.0
2022-07-29,CONSUMER,roa,10,10,1.0
2022-07-29,ENERGY,roa,10,10,1.0
2022-07-29,HEALTH,roa,10,10,1.0
2022-07-29,INDUSTRIAL,roa,10,10,1.0
2022-07-29,TECH,roa,10,10,1.0
2022-08-01,BANK,roa,10,10,1.0
2022-08-01,CONSUMER,roa,10,10,1.0
2022-08-01,ENERGY,roa,10,10,1.0
2022-08-01,HEALTH,roa,10,10,1.0
2022-08-01,INDUSTRIAL,roa,10,10,1.0
2022-08-01,TECH,roa,10,10,1.0
2022-08-02,BANK,roa,10,10,1.0
2022-08-02,CONSUMER,roa,10,10,1.0
2022-08-02,ENERGY,roa,10,10,1.0
2022-08-02,HEALTH,roa,10,10,1.0
2022-08-02,INDUSTRIAL,roa,10,10,1.0
2022-08-02,TECH,roa,10,10,1.0
2022-08-03,BANK,roa,10,10,1.0
2022-08-03,CONSUMER,roa,10,10,1.0
2022-08-03,ENERGY,roa,10,10,1.0
2022-08-03,HEALTH,roa,10,10,1.0
2022-08-03,INDUSTRIAL,roa,10,10,1.0
2022-08-03,TECH,roa,10,10,1.0
2022-08-04,BANK,roa,10,10,1.0
2022-08-04,CONSUMER,roa,10,10,1.0
2022-08-04,ENERGY,roa,10,10,1.0
2022-08-04,HEALTH,roa,10,10,1.0
2022-08-04,INDUSTRIAL,roa,10,10,1.0
2022-08-04,TECH,roa,10,10,1.0
2022-08-05,BANK,roa,10,10,1.0
2022-08-05,CONSUMER,roa,10,10,1.0
2022-08-05,ENERGY,roa,10,10,1.0
2022-08-05,HEALTH,roa,10,10,1.0
2022-08-05,INDUSTRIAL,roa,10,10,1.0
2022-08-05,TECH,roa,10,10,1.0
2022-08-08,BANK,roa,10,10,1.0
2022-08-08,CONSUMER,roa,10,10,1.0
2022-08-08,ENERGY,roa,10,10,1.0
2022-08-08,HEALTH,roa,10,10,1.0
2022-08-08,INDUSTRIAL,roa,10,10,1.0
2022-08-08,TECH,roa,10,10,1.0
2022-08-09,BANK,roa,10,10,1.0
